time,type,x,y
2025-07-08 16:42:23, realtime,386.11,263.45
2025-07-08 16:42:23, realtime,386.11,263.45
2025-07-08 16:42:23, realtime,386.11,263.45
2025-07-08 16:42:23, realtime,386.11,263.45
2025-07-08 16:42:24, predict,386.11,263.45
2025-07-08 16:42:25, predict,367.61,262.80
2025-07-08 16:42:25, predict,46.34,288.91
2025-07-08 16:42:26, realtime,386.31,263.67
2025-07-08 16:42:26, realtime,386.31,263.67
2025-07-08 16:42:26, realtime,386.31,263.67
2025-07-08 16:42:26, realtime,386.31,263.67
2025-07-08 16:42:27, predict,386.31,263.67
2025-07-08 16:42:27, predict,367.89,262.84
2025-07-08 16:42:28, predict,44.11,288.68
2025-07-08 16:42:29, realtime,386.50,263.71
2025-07-08 16:42:29, realtime,386.50,263.71
2025-07-08 16:42:29, realtime,386.50,263.71
2025-07-08 16:42:29, realtime,386.50,263.71
2025-07-08 16:42:29, predict,386.50,263.71
2025-07-08 16:42:30, predict,41.84,288.34
2025-07-08 16:42:31, predict,368.00,262.53
2025-07-08 16:42:32, realtime,386.65,263.58
2025-07-08 16:42:32, realtime,386.65,263.58
2025-07-08 16:42:32, realtime,386.65,263.58
2025-07-08 16:42:32, realtime,386.65,263.58
2025-07-08 16:42:32, predict,386.65,263.58
2025-07-08 16:42:33, predict,39.99,288.53
2025-07-08 16:42:34, predict,368.23,262.59
2025-07-08 16:42:34, realtime,387.01,263.93
2025-07-08 16:42:34, realtime,387.01,263.93
2025-07-08 16:42:34, realtime,387.01,263.93
2025-07-08 16:42:34, realtime,387.01,263.93
2025-07-08 16:42:35, predict,387.01,263.93
2025-07-08 16:42:36, predict,368.57,263.05
2025-07-08 16:42:37, predict,34.51,287.85
2025-07-08 16:42:37, realtime,387.16,264.01
2025-07-08 16:42:37, realtime,387.16,264.01
2025-07-08 16:42:37, realtime,387.16,264.01
2025-07-08 16:42:37, realtime,387.16,264.01
2025-07-08 16:42:38, predict,387.16,264.01
2025-07-08 16:42:39, predict,368.87,263.20
2025-07-08 16:42:39, predict,32.26,287.50
2025-07-08 16:42:40, realtime,387.40,264.09
2025-07-08 16:42:40, realtime,387.40,264.09
2025-07-08 16:42:40, realtime,387.40,264.09
2025-07-08 16:42:40, realtime,387.40,264.09
2025-07-08 16:42:41, predict,387.40,264.09
2025-07-08 16:42:41, predict,368.94,263.43
2025-07-08 16:42:42, predict,30.69,287.34
2025-07-08 16:42:43, realtime,387.55,264.25
2025-07-08 16:42:43, realtime,387.55,264.25
2025-07-08 16:42:43, realtime,387.55,264.25
2025-07-08 16:42:43, realtime,387.55,264.25
2025-07-08 16:42:43, realtime,387.55,264.25
2025-07-08 16:42:43, predict,387.55,264.25
2025-07-08 16:42:44, predict,369.05,264.53
2025-07-08 16:42:45, predict,28.77,287.67
2025-07-08 16:42:46, realtime,387.68,264.32
2025-07-08 16:42:46, realtime,387.68,264.32
2025-07-08 16:42:46, realtime,387.68,264.32
